coverage,n_covered,selective_risk
1.0,998,0.2865731462925852
0.9759519038076152,974,0.28542094455852157
0.9529058116232465,951,0.28180862250262884
0.9288577154308617,927,0.2740021574973031
0.9048096192384769,903,0.2724252491694352
0.8807615230460922,879,0.2684869169510808
0.8577154308617234,856,0.2628504672897196
0.8336673346693386,832,0.25721153846153844
0.8096192384769539,808,0.25123762376237624
0.7865731462925851,785,0.24713375796178344
0.7625250501002004,761,0.23653088042049936
0.7384769539078156,737,0.2265943012211669
0.7154308617234469,714,0.22128851540616246
0.6913827655310621,690,0.21304347826086956
0.6673346693386774,666,0.2072072072072072
0.6432865731462926,642,0.20093457943925233
0.6202404809619239,619,0.1938610662358643
0.5961923847695391,595,0.18823529411764706
0.5721442885771543,571,0.18914185639229422
0.5490981963927856,548,0.19160583941605838
0.5250501002004008,524,0.19274809160305342
0.501002004008016,500,0.19
0.4779559118236473,477,0.18658280922431866
0.45390781563126253,453,0.17660044150110377
0.42985971943887774,429,0.16783216783216784
0.405811623246493,405,0.1506172839506173
0.38276553106212424,382,0.14659685863874344
0.3587174348697395,358,0.13128491620111732
0.3346693386773547,334,0.12275449101796407
0.31162324649298595,311,0.12861736334405144
0.2875751503006012,287,0.13937282229965156
0.2635270541082164,263,0.14068441064638784
0.24048096192384769,240,0.15
0.21643286573146292,216,0.1527777777777778
0.19238476953907815,192,0.15625
0.1683366733466934,168,0.15476190476190477
0.14529058116232466,145,0.14482758620689656
0.12124248496993988,121,0.15702479338842976
0.09719438877755511,97,0.12371134020618557
0.07414829659318638,74,0.10810810810810811
0.050100200400801605,50,0.06
